STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type,Label
17,113,West township,79904,McLean County,County,None
17,113,White Oak township,81321,McLean County,County,None
17,113,Yates township,83804,McLean County,County,None
17,161,Andalusia township,1439,Rock Island County,County,In the Pipeline
17,161,Blackhawk township,6301,Rock Island County,County,None
17,161,Bowling township,7549,Rock Island County,County,In the Pipeline
17,161,Buffalo Prairie township,9512,Rock Island County,County,In the Pipeline
17,51,Seminary township,68601,Fayette County,County,None
17,51,South Hurricane township,70876,Fayette County,County,None
17,51,Vandalia township,77330,Fayette County,County,None
17,51,Avena township,3155,Fayette County,County,None
17,51,Bear Grove township,4377,Fayette County,County,None
17,51,Carson township,11501,Fayette County,County,None
17,51,Loudon township,44901,Fayette County,County,None
17,51,Pope township,61106,Fayette County,County,None
17,161,Canoe Creek township,10955,Rock Island County,County,In the Pipeline
17,161,Coe township,15326,Rock Island County,County,In the Pipeline
17,161,Cordova township,16379,Rock Island County,County,In the Pipeline
17,161,Drury township,20825,Rock Island County,County,In the Pipeline
17,161,Moline township,49880,Rock Island County,County,In the Pipeline
17,161,Port Byron township,61236,Rock Island County,County,In the Pipeline
17,161,Rock Island township,65091,Rock Island County,County,None
17,5,Burgess township,9694,Bond County,County,None
17,5,Central township,12112,Bond County,County,None
17,53,Lyman township,45252,Ford County,County,None
17,31,Bloom township,6561,Cook County,County,None
17,31,Chicago city,14000,Cook County,County,None
17,31,Elk Grove township,23243,Cook County,County,In the Pipeline
17,31,Leyden township,43120,Cook County,County,None
17,31,Maine township,46162,Cook County,County,None
17,31,Rich township,63498,Cook County,County,None
17,31,River Forest township,64317,Cook County,County,None
17,31,Stickney township,72689,Cook County,County,None
17,31,Worth township,83531,Cook County,County,None
17,161,Rural township,66300,Rock Island County,County,In the Pipeline
17,161,South Moline township,70993,Rock Island County,County,In the Pipeline
17,161,South Rock Island township,71201,Rock Island County,County,In the Pipeline
17,155,Magnolia township,46123,Putnam County,County,None
17,111,Alden township,607,McHenry County,County,None
17,155,Senachwine township,68627,Putnam County,County,None
17,65,Crouch township,17809,Hamilton County,County,None
17,65,Dahlgren township,18316,Hamilton County,County,None
17,65,Flannigan township,26324,Hamilton County,County,None
17,65,Mayberry township,47657,Hamilton County,County,None
17,65,South Flannigan township,70785,Hamilton County,County,None
17,1,Houston township,36295,Adams County,County,None
17,161,Hampton township,32577,Rock Island County,County,In the Pipeline
17,161,Zuma township,84246,Rock Island County,County,In the Pipeline
17,137,Jacksonville No. 6 precinct,91716,Morgan County,County,None
17,137,Jacksonville No. 7 precinct,91717,Morgan County,County,None
17,137,Jacksonville No. 8 precinct,91718,Morgan County,County,None
17,137,Jacksonville No. 9 precinct,91719,Morgan County,County,None
17,137,Jacksonville No. 11 precinct,91721,Morgan County,County,None
17,137,Jacksonville No. 12 precinct,91722,Morgan County,County,None
17,1,Keene township,39220,Adams County,County,None
17,67,Carthage township,11540,Hancock County,County,None
17,67,Harmony township,32993,Hancock County,County,None
17,67,Montebello township,50140,Hancock County,County,None
17,67,Warsaw township,78955,Hancock County,County,None
17,67,Fountain Green township,27325,Hancock County,County,None
17,5,Mills township,49321,Bond County,County,None
17,5,Pleasant Mound township,60586,Bond County,County,None
17,193,Burnt Prairie township,9902,White County,County,None
17,193,Gray township,31069,White County,County,None
17,193,Indian Creek township,37231,White County,County,None
17,193,Phillips township,59507,White County,County,None
17,119,Chouteau township,14260,Madison County,County,None
17,119,Collinsville township,15612,Madison County,County,In the Pipeline
17,119,Foster township,27182,Madison County,County,In the Pipeline
17,119,Moro township,50465,Madison County,County,In the Pipeline
17,119,Nameoki township,51583,Madison County,County,None
17,119,Omphghent township,56068,Madison County,County,None
17,119,Saline township,67275,Madison County,County,In the Pipeline
17,119,Venice township,77486,Madison County,County,In the Pipeline
17,137,Literberry precinct,91926,Morgan County,County,None
17,127,Jefferson precinct,91740,Massac County,County,None
17,1,Liberty township,43146,Adams County,County,None
17,1,Melrose township,48203,Adams County,County,None
17,1,Payson township,58278,Adams County,County,None
17,1,Riverside township,64408,Adams County,County,None
17,1,Quincy township,62380,Adams County,County,None
17,1,McKee township,45746,Adams County,County,None
17,1,Northeast township,53624,Adams County,County,None
17,1,Richfield township,63550,Adams County,County,None
17,61,Walkerville township,78461,Greene County,County,None
17,189,Covington township,17042,Washington County,County,None
17,189,Hoyleton township,36360,Washington County,County,None
17,189,Venedy township,77434,Washington County,County,None
17,137,Waverly No. 2 precinct,93642,Morgan County,County,None
17,127,Benton precinct,90396,Massac County,County,None
17,127,Logan precinct,91944,Massac County,County,None
17,127,Metropolis No. 1 precinct,92070,Massac County,County,None
17,33,Honey Creek township,35970,Crawford County,County,None
17,185,Bellmont precinct,90378,Wabash County,County,None
17,185,Lick Prairie precinct,91890,Wabash County,County,None
17,23,Westfield township,80294,Clark County,County,None
17,165,Carrier Mills township,11404,Saline County,County,None
17,165,Mountain township,50803,Saline County,County,None
17,165,Stonefort township,72897,Saline County,County,None
17,137,Woodson precinct,93852,Morgan County,County,None
17,29,Ashmore township,2570,Coles County,County,None
17,29,East Oakland township,22138,Coles County,County,None
17,29,Morgan township,50400,Coles County,County,None
17,163,Caseyville township,11657,St. Clair County,County,None
17,163,Fayetteville township,25726,St. Clair County,County,None
17,163,Mascoutah township,47436,St. Clair County,County,None
17,163,O'Fallon township,55262,St. Clair County,County,None
17,163,Smithton township,70265,St. Clair County,County,None
17,163,Sugar Loaf township,73456,St. Clair County,County,None
17,29,Pleasant Grove township,60469,Coles County,County,None
17,41,Arcola township,1894,Douglas County,County,None
17,63,Saratoga township,67678,Grundy County,County,None
17,63,Goose Lake township,30549,Grundy County,County,None
17,163,Stites township,72741,St. Clair County,County,None
17,153,Karnak precinct,91800,Pulaski County,County,None
17,153,Pulaski precinct,92952,Pulaski County,County,None
17,153,Wetaug precinct,93744,Pulaski County,County,None
17,147,Cerro Gordo township,12275,Piatt County,County,None
17,147,Blue Ridge township,6808,Piatt County,County,None
17,119,Helvetia township,33981,Madison County,County,In the Pipeline
17,45,Brouilletts Creek township,8901,Edgar County,County,None
17,153,America precinct,90108,Pulaski County,County,None
17,153,Mound City precinct,92178,Pulaski County,County,None
17,153,Olmsted precinct,92322,Pulaski County,County,None
17,153,Perks precinct,92412,Pulaski County,County,None
17,183,Ross township,65949,Vermilion County,County,None
17,11,Fairfield township,24790,Bureau County,County,None
17,45,Buck township,9213,Edgar County,County,None
17,45,Edgar township,22502,Edgar County,County,None
17,45,Elbridge township,22912,Edgar County,County,None
17,45,Embarrass township,23958,Edgar County,County,None
17,191,Big Mound township,5950,Wayne County,County,None
17,191,Elm River township,23685,Wayne County,County,None
17,191,Leech township,42626,Wayne County,County,None
17,95,Galesburg City township,28352,Knox County,County,In the Pipeline
17,45,Grandview township,30822,Edgar County,County,None
17,45,Hunter township,36685,Edgar County,County,None
17,45,Paris township,57641,Edgar County,County,None
17,95,Walnut Grove township,78565,Knox County,County,In the Pipeline
17,71,Bald Bluff township,3415,Henderson County,County,None
17,45,Prairie township,61483,Edgar County,County,None
17,45,Ross township,65923,Edgar County,County,None
17,89,Burlington township,9772,Kane County,County,None
17,89,Elgin township,23087,Kane County,County,None
17,135,Fillmore Consolidated township,26094,Montgomery County,County,None
17,173,Holland township,35567,Shelby County,County,None
17,173,Oconee township,55145,Shelby County,County,None
17,139,Lowe township,45083,Moultrie County,County,None
17,33,Licking township,43315,Crawford County,County,None
17,173,Big Spring township,6002,Shelby County,County,None
17,173,Cold Spring township,15417,Shelby County,County,None
17,173,Dry Point township,20851,Shelby County,County,None
17,173,Flat Branch township,26337,Shelby County,County,None
17,173,Herrick township,34345,Shelby County,County,None
17,173,Lakewood township,41690,Shelby County,County,None
17,163,Belleville city,4845,St. Clair County,County,None
17,173,Moweaqua township,51245,Shelby County,County,None
17,173,Okaw township,55457,Shelby County,County,None
17,31,Evanston city,24582,Cook County,County,None
17,43,Addison township,250,DuPage County,County,In the Pipeline
