County,Township,Label,COUSUBFP
Schuyler County,Brooklyn township,,08693
Lee County,Brooklyn township,,08654
Franklin County,Browning township,,08940
Schuyler County,Browning township,,08966
Schuyler County,Camden township,,10708
Schuyler County,Frederick township,,27793
Schuyler County,Hickory township,,34462
Schuyler County,Huntsville township,,36776
Peoria County,Akron township,,00477
Peoria County,Brimfield township,,08316
Peoria County,Chillicothe township,,14130
Peoria County,Elmwood township,,23711
Peoria County,Hollis township,,35645
Peoria County,Jubilee township,,38765
Peoria County,Limestone township,,43523
Kankakee County,Limestone township,,43497
Adams County,Clayton township,,14780
Woodford County,Clayton township,,14793
Adams County,Ellington township,,23412
Adams County,Gilmer township,,29288
Adams County,Lima township,,43458
Adams County,Mendon township,,48320
Adams County,Ursa township,,77057
Monroe County,Precinct 37,,92730
Monroe County,Precinct 28,,92685
Lee County,Bradford township,,07679
Schuyler County,Brooklyn township,,08693
Lee County,Brooklyn township,,08654
Lee County,Harmon township,,32980
Lee County,Lee Center township,,42613
Schuyler County,Rushville township,,66352
Warren County,Hale township,,32226
Warren County,Spring Grove township,,72065
Calhoun County,Belleview precinct,,90360
Calhoun County,Carlin precinct,,90630
Calhoun County,Crater precinct,,90900
Calhoun County,Gilead precinct,,91350
Calhoun County,Hamburg precinct,,91584
Perry County,Du Quoin No. 2 precinct,,91011
Perry County,Beaucoup precinct,,90342
Perry County,Sunfield precinct,,93330
Perry County,Pinckneyville No. 8 precinct,,92475
Perry County,Tamaroa No. 1 precinct,,93384
Perry County,Cutler precinct,,90936
Peoria County,Logan township,,44342
Peoria County,Millbrook township,,49113
Peoria County,Princeville township,,61938
Peoria County,Radnor township,,62510
Peoria County,Richwoods township,,63771
Peoria County,Rosefield township,,65715
Peoria County,Timber township,,75289
Kendall County,Lisbon township,,43913
Lake County,Vernon township,,77668
Mason County,Mason City township,,47482
Randolph County,Percy precinct,,92394
Tazewell County,Sand Prairie township,,67483
Woodford County,Cruger township,,17861
Morgan County,Jacksonville No. 10 precinct,,91720
Lee County,Wyoming township,,83674
Calhoun County,Hardin precinct,,91602
Schuyler County,Littleton township,,44069
Calhoun County,Richwood precinct,,92988
Will County,Lockport township,,44238
Will County,Wilton township,,82244
Will County,Channahon township,,12483
Will County,Crete township,,17536
Will County,Custer township,,18199
Will County,Florence township,,26519
Stephenson County,Florence township,,26506
Franklin County,Frankfort township,,27611
Will County,Frankfort township,,27631
Pike County,Martinsburg township,,47241
Peoria County,Trivoli township,,76121
Peoria County,West Peoria township,,80749
Lee County,Nachusa township,,51557
McHenry County,Chemung township,,12892
Stark County,Osceola township,,56783
Williamson County,Carterville precinct,,90648
Williamson County,Creal Springs precinct,,90918
Williamson County,Herrin precinct,,91620
Williamson County,Stonefort precinct,,93294
Williamson County,Crab Orchard precinct,,90882
McHenry County,Dorr township,,20396
McHenry County,Dunham township,,21111
McHenry County,Grafton township,,30666
Christian County,Greenwood township,,31641
McHenry County,Greenwood township,,31680
McHenry County,Hebron township,,33864
Wayne County,Zif township,,84194
Union County,Jonesboro District 1 precinct,,91764
Pike County,Levee township,,43003
Pike County,Montezuma township,,50192
Clay County,Clay City township,,14728
Livingston County,Nebraska township,,51895
Livingston County,Sunbury township,,73781
Will County,Green Garden township,,31394
Will County,Homer township,,35827
Effingham County,Jackson township,,38063
Will County,Jackson township,,38076
Will County,Joliet township,,38583
Will County,Monee township,,49958
Will County,New Lenox township,,52597
Iroquois County,Ash Grove township,,02453
Shelby County,Ash Grove township,,02466
Iroquois County,Chebanse township,,12814
Bureau County,Concord township,,16028
Adams County,Concord township,,16015
Iroquois County,Concord township,,16041
Iroquois County,Danforth township,,18511
Iroquois County,Martinton township,,47293
Perry County,Du Quoin No. 8 precinct,,91017
Williamson County,Corinth precinct,,90846
Williamson County,Southern precinct,,93204
Williamson County,Lake Creek precinct,,91836
McHenry County,McHenry township,,45707
McHenry County,Marengo township,,46799
McHenry County,Richmond township,,63654
Jasper County,Crooked Creek township,,17653
Cumberland County,Crooked Creek township,,17640
Cumberland County,Spring Point township,,72143
McHenry County,Riley township,,64096
McHenry County,Nunda township,,54495
McHenry County,Seneca township,,68653
Clay County,Bible Grove township,,05807
Clay County,Blair township,,06392
Clay County,Oskaloosa township,,56835
Clay County,Pixley township,,60261
Moultrie County,Sullivan township,,73508
Livingston County,Sullivan township,,73482
Kankakee County,Otto township,,57017
Clay County,Songer township,,70486
Clay County,Stanford township,,72247
Clay County,Xenia township,,83752
Fulton County,Farmington township,,25544
Fulton County,Harris township,,33110
Fulton County,Isabel township,,37842
Fulton County,Waterford township,,79137
Tazewell County,Little Mackinaw township,,44017
Montgomery County,Butler Grove township,,10175
Montgomery County,Nokomis township,,53182
Montgomery County,North Litchfield township,,53949
Montgomery County,Raymond township,,62978
Champaign County,Raymond township,,62952
Kane County,Batavia township,,04091
Kane County,Big Rock township,,05989
Kane County,Blackberry township,,06262
Kane County,Campton township,,10903
Cumberland County,Cottonwood township,,16587
Cumberland County,Sumpter township,,73729
Cumberland County,Woodbury township,,82959
Cumberland County,Greenup township,,31537
Union County,Alto Pass precinct,,90090
Kane County,Dundee township,,21046
Kane County,Geneva township,,28885
